  CURRENCY DATE = 06/19/16
                                     LATITUDE    LONGITUDE     OBSTACLE       AGL  AMSL LT ACC MAR FAA       ACTION
ORS#      V CO ST CITY            DEG MIN SEC   DEG MIN SEC   TYPE           HT    HT     H V IND STUDY           JDATE
-------------------------------------------------------------------------------------------------------------------------
15-020309 O US HI HILO             19 42 24.71N 155 03 46.52W TOWER        1 00121 00159 U 1 A U                A 2013214 
15-020315 O US HI HILO             19 42 24.91N 155 05 36.95W T-L TWR      1 00054 00341 U 1 A U                A 2013214 
15-020313 O US HI HILO             19 42 31.58N 155 05 27.46W T-L TWR      1 00040 00252 U 1 A U                A 2013214 
15-020308 O US HI HILO             19 42 34.01N 155 03 48.64W T-L TWR      1 00038 00069 U 1 A U                A 2013214 
15-000193 O US HI HILO             19 42 34.19N 155 03 50.60W POLE         1 00037 00067 N 1 A N 0076_PC00047OE C 2010217 
15-020492 O US HI HILO             19 42 35.07N 155 03 47.59W BLDG         1 00028 00058 R 5 E N 2013AWP01317OE A 2014328 
15-020473 O US HI HILO             19 42 35.70N 155 03 48.50W BLDG         1 00027 00055 N 5 E N 2013AWP00491OE A 2014230 
15-020533 U US HI HILO             19 42 36.20N 155 03 40.00W TOWER        1 00073 00108 N 4 D N 2012AWP04105OE A 2016168 
15-020285 O US HI HILO             19 42 42.35N 155 03 44.76W FENCE        1 00005 00038 U 1 A U                A 2013214 
15-020286 O US HI HILO             19 42 42.71N 155 03 50.59W POLE         1 00016 00045 U 1 A U                A 2013214 
15-020307 O US HI HILO             19 42 43.43N 155 03 51.83W T-L TWR      1 00038 00066 U 1 A U                A 2013214 
15-020284 O US HI HILO             19 42 43.72N 155 03 42.37W POLE         1 00017 00052 U 1 A U                A 2013214 
15-000029 O US HI HILO             19 42 51.00N 155 08 03.00W TOWER        1 00285 01147 R 4 D M                C 1984353 
15-000321 O US HI HILO             19 42 58.39N 155 02 51.10W CTRL TWR     1 00121 00164 R 1 A N                C 2010291 
15-000319 O US HI HILO             19 43 01.91N 155 01 26.24W TOWER        1 00100 00135 R 1 A U                C 2010291 
15-000351 U US HI KALAOA           19 43 04.00N 155 55 06.00W TOWER        1 00514 05779 L     U                A 1999053 
15-000357 U US HI KALAOA           19 43 05.00N 155 55 05.00W TOWER        1 00303 05623 M 4 D M 2000AWP00015OE C 2014124 
15-020312 O US HI HILO             19 43 05.35N 155 05 28.74W POLE         1 00075 00209 U 1 A U                A 2013214 
15-000322 O US HI HILO             19 43 06.00N 155 03 34.97W BLDG         1 00079 00109 R 1 A N                C 2010292 
15-020303 O US HI HILO             19 43 10.31N 155 03 10.49W POLE         1 00023 00052 R 1 A U                A 2013214 
15-020298 O US HI HILO             19 43 10.96N 155 03 35.91W POLE         1 00032 00059 U 1 A U                A 2013214 
15-020297 O US HI HILO             19 43 11.16N 155 03 33.67W POLE         1 00031 00058 U 1 A U                A 2013214 
15-020301 O US HI HILO             19 43 13.74N 155 03 39.50W NAVAID       1 00019 00043 R 1 A U                A 2013214 
15-020343 O US HI KAILUA-KONA      19 43 14.79N 156 02 52.25W NAVAID       1 00020 00040 R 1 A U                A 2013214 
15-020342 O US HI KAILUA-KONA      19 43 15.22N 156 02 50.00W NAVAID       1 00017 00038 R 1 A U                A 2013214 
15-020300 O US HI HILO             19 43 16.93N 155 03 38.78W NAVAID       1 00010 00033 R 1 A U                A 2013214 
15-020302 O US HI HILO             19 43 17.05N 155 03 40.90W GEN UTIL     1 00018 00041 R 1 A U                A 2013214 
15-000267 O US HI KEAHOLE          19 43 18.98N 156 01 55.48W POLE         1 00066 00216 U 1 A U                C 2010270 
15-020295 O US HI HILO             19 43 19.60N 155 03 28.03W POLE         1 00023 00046 U 1 A U                A 2013214 
15-020296 O US HI HILO             19 43 20.37N 155 03 31.90W GEN UTIL     1 00015 00037 U 1 A U                A 2013214 
15-020294 O US HI HILO             19 43 20.43N 155 03 20.40W POLE         1 00027 00051 U 1 A U                A 2013214 
15-020291 O US HI HILO             19 43 20.89N 155 01 58.10W TOWER        1 00039 00069 U 1 A U                A 2013214 
15-020293 O US HI HILO             19 43 21.84N 155 02 33.02W SIGN         1 00012 00038 U 1 A U                A 2013214 
15-020292 O US HI HILO             19 43 21.90N 155 02 27.08W SIGN         1 00013 00039 U 1 A U                A 2013214 
15-020299 O US HI HILO             19 43 22.00N 155 03 38.45W BLDG         1 00033 00052 U 1 A U                A 2013214 
15-020306 O US HI HILO             19 43 22.69N 155 02 00.07W POLE         1 00021 00053 U 1 A U                A 2013214 
15-020304 O US HI HILO             19 43 24.65N 155 03 14.97W T-L TWR      1 00038 00060 U 1 A U                A 2013214 
15-020305 O US HI HILO             19 43 25.45N 155 03 34.60W BLDG         1 00061 00076 U 1 A U                A 2013214 
15-020334 O US HI KAILUA-KONA      19 43 25.53N 156 02 52.76W POLE         1 00031 00062 U 1 A U                A 2013214 
15-000271 O US HI KEAHOLE          19 43 30.56N 156 00 28.11W POLE         1 00046 00646 U 1 A U                C 2010274 
15-020289 O US HI HILO             19 43 31.96N 155 03 06.22W POLE         1 00022 00043 R 1 A U                C 2014128 
15-020336 O US HI KAILUA-KONA      19 43 35.29N 156 02 50.83W POLE         1 00004 00044 U 1 A U                A 2013214 
15-020290 O US HI HILO             19 43 35.33N 155 02 56.56W BLDG         1 00058 00077 U 1 A U                A 2013214 
15-020335 O US HI KAILUA-KONA      19 43 35.36N 156 02 52.13W POLE         1 00015 00053 U 1 A U                A 2013214 
15-020346 O US HI KAILUA-KONA      19 43 41.38N 156 01 51.62W T-L TWR      1 00067 00225 U 1 A U                A 2013214 
15-000270 O US HI KEAHOLE          19 43 41.51N 156 01 01.72W POLE         1 00062 00382 U 1 A U                C 2010274 
15-020494 O US HI KAILUA-KONA      19 43 43.30N 156 03 33.69W BLDG-TWR     1 00043 00056 N 5 E N 2010AWP06386OE A 2015040 
15-000274 O US HI HILO             19 43 43.61N 155 03 16.48W TANK         1 00168 00178 R 1 A U                C 2010274 
15-000275 O US HI HILO             19 43 45.38N 155 01 22.05W TOWER        1 00160 00189 N 1 A N 2015AWP00004OE C 2015068 
15-000039 O US HI HILO             19 43 46.00N 155 03 54.00W TOWER        1 00145 00152 U 9 I U                C 1974054 
15-020348 O US HI KAILUA-KONA      19 43 53.15N 156 01 31.67W T-L TWR      1 00068 00315 U 1 A U                A 2013214 
15-000320 U US HI HILO             19 43 55.00N 155 02 58.00W TOWER        1 00121 00132 U     U                A 1989332 
15-020049 O US HI KALAOA           19 43 56.70N 156 01 36.10W TOWER        1 00090 00322 N 5 E N                A 2010280 
15-020345 O US HI KAILUA-KONA      19 43 56.74N 156 01 43.64W PLANT        1 00118 00318 R 1 A U                A 2013214 
15-020051 O US HI KALAOA           19 43 56.80N 156 01 35.20W TOWER        1 00090 00328 N 5 E N                A 2010280 
15-000346 O US HI KALAOA           19 43 57.63N 156 01 35.56W TOWER        1 00094 00330 N 1 A N                C 2013214 
15-020050 O US HI KALAOA           19 43 57.70N 156 01 35.20W TOWER        1 00090 00328 N 5 E N                A 2010280 
15-000323 O US HI LELEIWI          19 43 58.00N 155 00 37.00W TOWER        1 00125 00153 U 3 C U                A 1989332 
15-000031 O US HI HILO             19 44 00.00N 155 01 58.00W TOWER        1 00184 00186 R 1 A U 0071_PC00035OE D 1999172 
15-020347 O US HI KAILUA-KONA      19 44 00.82N 156 01 29.62W TANK         1 00025 00287 U 1 A U                A 2013214 
15-000266 O US HI KEAHOLE          19 44 01.92N 156 01 48.07W POLE         1 00077 00237 U 1 A U                C 2010270 
15-000265 O US HI KEAHOLE          19 44 02.35N 156 02 28.81W CTRL TWR     1 00089 00129 R 1 A U                C 2010263 
15-000269 O US HI KEAHOLE          19 44 07.69N 156 01 18.08W POLE         1 00055 00375 U 1 A U                C 2010270 
15-000361 O US HI KEAHOLE          19 44 08.69N 156 02 04.57W TOWER        1 00105 00199 N 2 C N 2009AWP01132OE C 2010321 
15-000273 O US HI KEAHOLE          19 44 13.00N 156 02 30.00W BLDG         1 00058 00101 N 5 E U                C 2010278 
15-020344 O US HI KAILUA-KONA      19 44 16.23N 156 02 52.55W NAVAID       1 00038 00075 R 1 A U                A 2013214 
15-000272 O US HI KEAHOLE          19 44 18.00N 156 02 48.00W TOWER        1 00040 00080 U 1 A U                A 1988214 
15-020337 O US HI KAILUA-KONA      19 44 19.85N 156 02 47.93W POLE         1 00031 00069 R 1 A U                A 2013214 
15-020349 O US HI KAILUA-KONA      19 44 22.20N 156 01 15.68W T-L TWR      1 00059 00363 U 1 A U                A 2013214 
15-000030 O US HI HILO             19 44 24.00N 155 09 16.00W TOWER        1 00226 01766 U     M                D 1976122 
15-020338 O US HI KAILUA-KONA      19 44 24.16N 156 02 39.38W POLE         1 00023 00064 R 1 A U                A 2013214 
15-020350 O US HI KAILUA-KONA      19 44 40.24N 156 01 12.49W T-L TWR      1 00055 00355 U 1 A U                A 2013214 
15-000268 O US HI KEAHOLE          19 44 59.16N 156 01 09.05W POLE         1 00048 00348 U 1 A U                C 2010270 
15-020339 O US HI KAILUA-KONA      19 45 01.32N 156 02 37.93W POLE         1 00002 00055 R 1 A U                A 2013214 
15-020340 O US HI KAILUA-KONA      19 45 02.78N 156 02 43.63W TOWER        1 00031 00077 R 1 A U                A 2013214 
15-020341 O US HI KAILUA-KONA      19 45 14.17N 156 02 43.09W POLE         1 00029 00071 R 1 A U                A 2013214 
15-020351 O US HI KAILUA-KONA      19 45 15.92N 156 01 06.15W T-L TWR      1 00056 00340 U 1 A U                A 2013214 
15-020456 O US HI WAIMEA           19 45 20.79N 155 31 26.00W TANK         1 00055 06626 U 1 A U                A 2013217 
15-020454 O US HI WAIMEA           19 45 26.20N 155 32 09.10W BLDG         1 00012 06381 U 1 A U                A 2013217 
15-020352 O US HI KAILUA-KONA      19 45 33.93N 156 01 03.01W T-L TWR      1 00068 00314 U 1 A U                A 2013214 
15-020455 O US HI WAIMEA           19 45 36.77N 155 31 55.74W T-L TWR      1 00084 06591 U 1 A U                A 2013217 
15-020353 O US HI KAILUA-KONA      19 46 09.80N 156 00 38.46W T-L TWR      1 00044 00415 U 1 A U                A 2013214 
15-020354 O US HI KAILUA-KONA      19 46 20.13N 156 00 31.45W T-L TWR      1 00041 00452 U 1 A U                A 2013214 
15-000218 O US HI HILO             19 46 50.00N 155 05 14.00W TOWER        1 00380 00460 R 3 C M 0080_PC00050OE C 1990351 
15-000058 O US HI HILO             19 50 52.00N 155 05 01.00W TOWER        1 00388 00458 R 4 D M 0071_PC00660OE C 2006099 
15-020145 O US HI HONOMU           19 52 01.92N 155 08 00.60W CATENARY     1 00245 00595 N 5 E N 2012AWP08433OE A 2013028 
15-000067 O US HI NINOLE           19 54 44.00N 155 10 57.00W TOWER        1 00204 01552 R 3 C M 0065_PC00001OE C 1978065 
15-000350 O US HI NINOLE           19 56 24.83N 155 12 02.63W TOWER        1 00214 01232 D 1 A N 2016AWP00975OE C 2016071 
15-020430 O US HI KAMUELA          19 58 34.68N 155 38 34.24W POLE         1 00025 03279 U 1 A U                A 2013217 
15-020424 O US HI KAMUELA          19 59 41.49N 155 40 34.59W POLE         1 00033 02683 U 1 A U                A 2013217 
15-020423 O US HI KAMUELA          19 59 47.86N 155 40 23.29W POLE         1 00031 02686 R 1 A U                A 2013217 
15-020428 O US HI KAMUELA          19 59 52.99N 155 40 11.54W NAVAID       1 00049 02708 R 1 A U                A 2013217 
15-000066 O US HI OOKALA           19 59 53.00N 155 16 39.00W TOWER        1 00203 01278 U 5 E M                A 1978065 
15-020421 O US HI KAMUELA          19 59 53.53N 155 40 15.32W FENCE        1 00023 02681 U 1 A U                A 2013217 
15-020427 O US HI KAMUELA          19 59 53.84N 155 40 11.78W POLE         1 00044 02703 R 1 A U                A 2013217 
15-020429 O US HI KAMUELA          19 59 55.42N 155 40 24.20W BLDG         1 00043 02697 U 1 A U                A 2013217 
15-020422 O US HI KAMUELA          19 59 57.11N 155 40 19.38W NAVAID       1 00023 02680 U 1 A U                A 2013217 
15-020420 O US HI KAMUELA          20 00 01.18N 155 40 14.99W FENCE        1 00027 02681 U 1 A U                A 2013217 
15-020419 O US HI KAMUELA          20 00 04.15N 155 40 10.77W POLE         1 00039 02696 R 1 A U                A 2013217 
15-020418 O US HI KAMUELA          20 00 19.26N 155 39 40.48W POLE         1 00026 02702 U 1 A U                A 2013217 
15-020425 O US HI WAIMEA           20 00 22.51N 155 39 41.05W FENCE        1 00003 02679 R 1 A N                C 2014202 
15-020426 O US HI KAMUELA          20 00 34.92N 155 39 18.87W FENCE        1 00017 02741 U 1 A U                A 2013217 
15-000223 O US HI KAMUELA          20 01 33.47N 155 39 31.10W BLDG-TWR     1 00137 02908 R 1 A P 2010AWP03010OE C 2010274 
15-000332 O US HI WIAMEA           20 01 35.69N 155 38 20.99W TOWER        1 00138 02974 R 1 A P 2007AWP02514OE C 2007217 
15-020467 O US HI HONOKAA          20 03 35.40N 155 27 49.10W TOWER        1 00160 01920 N 5 E N 2013AWP02091OE A 2013255 
15-020039 O US HI KAPOAULA-HAMEKUA 20 03 41.80N 155 32 16.00W TOWER        1 00150 02669 N 2 C N 2010AWP04178OE A 2010195 
15-006007 U US HI HONOKAA          20 04 40.00N 155 27 51.00W TOWER        1 00150 01250 U     U                A 1976174 
15-000344 O US HI KOHALA           20 07 32.00N 155 46 40.00W TOWER        1 00135 03946 N 5 D N 1995AWP01029OE C 1996323 
15-000024 O US HI UPOLO POINT      20 14 50.00N 155 53 08.00W TOWER        1 00645 00765 R 3 D M                C 1989345 
15-000021 O US HI UPOLU POINT      20 15 04.00N 155 53 13.00W TOWER        1 00280 00335 U     M                D 1976292 
15-000017 O US HI UPOLU POINT      20 15 04.00N 155 53 12.00W TOWER        1 00284 00335 U     M                D 1984256 
15-000375 O US HI HAWI             20 15 05.46N 155 51 03.18W WINDMILL     1 00199 00677 R 5 E N 2006AWP01458OE C 2006260 
15-000381 O US HI HAWI             20 15 10.08N 155 50 54.36W WINDMILL     1 00199 00591 N 5 E N 2006AWP01463OE C 2006260 
15-000376 O US HI HAWI             20 15 10.62N 155 51 04.02W WINDMILL     1 00199 00609 N 5 E N 2006AWP01457OE C 2006260 
15-000377 O US HI HAWI             20 15 11.82N 155 50 47.28W WINDMILL     1 00199 00584 R 5 E N 2006AWP01467OE C 2006260 
15-000374 O US HI HAWI             20 15 14.64N 155 51 09.66W WINDMILL     1 00199 00576 N 5 E N 2006AWP01456OE C 2006260 
15-000378 O US HI HAWI             20 15 18.42N 155 50 49.56W WINDMILL     1 00199 00463 N 5 E N 2006AWP01466OE C 2006260 
15-000388 O US HI HAWI             20 15 19.74N 155 51 12.36W WINDMILL     1 00199 00559 R 5 E N 2006AWP01455OE C 2006260 
15-000382 O US HI HAWI             20 15 21.18N 155 50 59.34W WINDMILL     1 00199 00521 N 5 E N 2006AWP01462OE C 2006260 
15-000389 O US HI HAWI             20 15 25.50N 155 51 14.46W WINDMILL     1 00199 00514 N 5 E N 2006AWP01454OE C 2006260 
15-000383 O US HI HAWI             20 15 26.10N 155 51 01.50W WINDMILL     1 00199 00496 N 5 E N 2006AWP01461OE C 2006260 
15-000379 O US HI HAWI             20 15 29.46N 155 50 50.46W WINDMILL     1 00199 00463 R 5 E N 2006AWP01465OE C 2006260 
15-000386 O US HI HAWI             20 15 31.14N 155 51 14.64W WINDMILL     1 00199 00486 N 5 E N 2006AWP01453OE C 2006260 
15-000384 O US HI HAWI             20 15 31.80N 155 51 03.18W WINDMILL     1 00199 00468 N 5 E N 2006AWP01460OE C 2006260 
15-000387 O US HI HAWI             20 15 36.72N 155 51 18.24W WINDMILL     1 00199 00446 R 5 E N 2006AWP01452OE C 2006260 
15-000385 O US HI HAWI             20 15 37.08N 155 51 07.20W WINDMILL     1 00199 00472 N 5 E N 2006AWP01459OE C 2006260 
15-000380 O US HI HAWI             20 15 37.26N 155 50 54.48W WINDMILL     1 00199 00475 R 5 E N 2006AWP01464OE C 2006260 
15-020141 O US HI WAILEA           20 35 23.16N 156 19 03.84W WINDMILL     1 00428 00809 W 5 E W 2011WTW06007OE A 2012353 
15-020142 O US HI WAILEA           20 35 29.97N 156 19 04.90W WINDMILL     1 00428 00920 N 5 E W 2011WTW06006OE A 2012353 
15-020105 O US HI WAILEA           20 35 36.90N 156 19 05.88W TOWER        1 00262 00858 R 5 E P 2011WTW11725OE D 2012353 
15-020143 O US HI WAILEA           20 35 36.90N 156 19 05.88W WINDMILL     1 00428 01019 W 5 E W 2011WTW06005OE A 2012353 
15-020109 O US HI WAILEA           20 35 39.47N 156 18 59.42W TOWER        1 00262 00903 R 5 E P 2013WTW07855OE C 2014272 
15-020144 O US HI WAILEA           20 35 43.54N 156 19 06.14W WINDMILL     1 00428 01152 N 5 E W 2011WTW06004OE A 2012354 
15-020140 O US HI WAILEA           20 35 50.17N 156 19 06.41W WINDMILL     1 00428 01234 N 5 E W 2011WTW06003OE A 2012342 
15-020116 O US HI WAILEA           20 35 56.87N 156 19 06.64W WINDMILL     1 00428 01349 W 5 E W 2011WTW06002OE A 2012319 
15-020115 O US HI WAILEA           20 36 03.82N 156 19 06.34W WINDMILL     1 00428 01457 N 5 E W 2011WTW06001OE A 2012313 
15-020114 O US HI WAILEA           20 36 11.28N 156 19 07.01W WINDMILL     1 00428 01560 W 5 E W 2011WTW06000OE A 2012313 
15-020505 O US HI MAKENA           20 40 01.52N 156 25 55.86W TOWER        1 00040 00409 N 5 E N 2011AWP02785OE A 2015197 
15-000016 O US HI WAILUKU MAUI     20 42 29.00N 156 15 25.00W TOWER        1 00074 10054 U 9 I U                D 2012143 
15-006004 U US HI WAILUKU          20 42 31.00N 156 15 16.00W TOWER        1 00070 10070 U     U                D 2012033 
15-020390 O US HI LANAI            20 45 52.23N 156 58 08.03W NAVAID       1 00020 01276 U 1 A U                A 2013217 
15-000036 O US HI HALEAKALA        20 46 18.00N 156 14 11.00W TOWER        1 00068 06670 L 5 E M                C 1984359 
15-020283 O US HI HAIKU            20 46 37.81N 156 01 23.10W T-L TWR      1 00021 00508 U 1 A U                A 2013214 
15-020389 O US HI LANAI            20 46 49.83N 156 57 19.93W FENCE        1 00011 01313 U 1 A U                A 2013217 
15-000248 O US HI LANAI CITY       20 46 51.65N 156 57 24.93W POLE         1 00043 01323 R 1 A U                C 2010244 
15-020399 O US HI LANAI            20 46 52.29N 156 57 15.08W FENCE        1 00017 01333 U 1 A U                A 2013217 
15-020386 O US HI LANAI            20 46 59.73N 156 57 09.43W FENCE        1 00007 01319 U 1 A U                A 2013217 
15-020388 O US HI LANAI            20 47 00.10N 156 57 17.75W FENCE        1 00023 01312 U 1 A U                A 2013217 
15-020387 O US HI LANAI            20 47 02.49N 156 57 14.82W ELEC SYS     1 00013 01306 U 1 A U                A 2013217 
15-020384 O US HI LANAI            20 47 09.24N 156 56 59.66W FENCE        1 00008 01308 U 1 A U                A 2013217 
15-020385 O US HI LANAI            20 47 10.90N 156 57 06.72W FENCE        1 00020 01316 U 1 A U                A 2013217 
15-020099 O US HI WAILUKU          20 47 11.61N 156 31 47.11W WINDMILL     1 00328 01023 W 5 E W 2012WTW03157OE A 2012198 
15-020396 O US HI LANAI            20 47 14.98N 156 57 03.22W GEN UTIL     1 00010 01321 U 1 A U                A 2013217 
15-020098 O US HI WAILUKU          20 47 17.47N 156 31 51.75W WINDMILL     1 00328 01145 N 5 E W 2012WTW03151OE A 2012198 
15-020397 O US HI LANAI            20 47 17.72N 156 57 00.24W POLE         1 00020 01322 R 1 A U                A 2013217 
15-020383 O US HI LANAI            20 47 18.35N 156 56 59.01W FENCE        1 00005 01304 U 1 A U                A 2013217 
